started_at,ended_at,start_station_name,end_station_name,member_casual,rideable_type,trip_duration_min
2024-10-08 17:56:45.941,2024-10-09 18:56:40.471,DuSable Lake Shore Dr & Monroe St,,casual,classic_bike,1499.9088333333334
2024-10-24 08:41:06.937,2024-10-24 11:08:44.250,DuSable Lake Shore Dr & Monroe St,New St & Illinois St,member,classic_bike,147.62188333333333
2024-10-18 09:07:58.733,2024-10-18 11:32:06.622,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,casual,electric_bike,144.1314833333333
2024-10-11 17:25:29.491,2024-10-11 19:37:17.551,DuSable Lake Shore Dr & Monroe St,Michigan Ave & Ida B Wells Dr,casual,classic_bike,131.80100000000002
2024-10-05 09:55:34.798,2024-10-05 12:04:43.427,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd,casual,classic_bike,129.14381666666665
2024-10-04 08:29:36.872,2024-10-04 10:28:34.279,Lakefront Trail & Wilson Ave,Lakefront Trail & Wilson Ave,casual,classic_bike,118.95678333333333
2024-10-04 08:29:49.863,2024-10-04 10:28:10.448,Lakefront Trail & Wilson Ave,Lakefront Trail & Wilson Ave,casual,classic_bike,118.34308333333334
2024-10-29 17:30:34.182,2024-10-29 19:28:01.570,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd,casual,classic_bike,117.45646666666667
2024-10-23 17:45:45.494,2024-10-23 19:38:10.901,Lakefront Trail & Wilson Ave,Lakefront Trail & Wilson Ave,casual,classic_bike,112.42345
2024-10-13 07:18:08.826,2024-10-13 09:08:15.191,DuSable Lake Shore Dr & Monroe St,,casual,electric_bike,110.10608333333333
2024-10-11 16:14:06.915,2024-10-11 18:03:05.980,DuSable Lake Shore Dr & Monroe St,Dusable Harbor,casual,electric_bike,108.98441666666666
2024-10-11 16:36:50.228,2024-10-11 18:21:49.321,DuSable Lake Shore Dr & Belmont Ave,Michigan Ave & Oak St,casual,classic_bike,104.98488333333333
2024-10-22 17:44:14.999,2024-10-22 19:28:19.551,DuSable Lake Shore Dr & Wellington Ave,,member,electric_bike,104.07586666666666
2024-10-25 16:44:58.277,2024-10-25 18:25:32.459,Lakefront Trail & Wilson Ave,Lakefront Trail & Wilson Ave,casual,classic_bike,100.5697
2024-10-05 17:05:49.585,2024-10-05 18:36:23.419,DuSable Lake Shore Dr & Monroe St,Michigan Ave & 8th St,casual,electric_bike,90.5639
2024-10-21 16:33:27.761,2024-10-21 18:03:46.350,DuSable Lake Shore Dr & Monroe St,Dusable Harbor,casual,classic_bike,90.30981666666666
2024-10-19 17:16:17.808,2024-10-19 18:46:22.487,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,casual,classic_bike,90.07798333333334
2024-10-02 16:02:52.412,2024-10-02 17:31:07.408,DuSable Lake Shore Dr & North Blvd,Sheffield Ave & Waveland Ave,casual,electric_bike,88.24993333333333
2024-10-26 07:43:56.207,2024-10-26 09:11:58.043,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,casual,classic_bike,88.0306
2024-10-18 17:16:47.491,2024-10-18 18:40:10.455,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,casual,classic_bike,83.38273333333333
2024-10-20 09:23:42.228,2024-10-20 10:46:55.043,DuSable Lake Shore Dr & Monroe St,Dusable Harbor,casual,classic_bike,83.21358333333333
2024-10-28 17:31:31.827,2024-10-28 18:53:45.663,DuSable Lake Shore Dr & Diversey Pkwy,Burling St & Diversey Pkwy,casual,classic_bike,82.23060000000001
2024-10-10 18:07:44.081,2024-10-10 19:27:20.423,DuSable Lake Shore Dr & Belmont Ave,California Ave & Fletcher St,member,classic_bike,79.6057
2024-10-05 17:52:29.853,2024-10-05 19:11:05.674,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd,member,classic_bike,78.59701666666666
2024-10-19 17:52:09.593,2024-10-19 19:09:34.669,Lakefront Trail & Wilson Ave,DuSable Lake Shore Dr & Belmont Ave,casual,classic_bike,77.41793333333334
2024-10-30 18:38:53.084,2024-10-30 19:55:44.794,Lakefront Trail & Bryn Mawr Ave,Lakefront Trail & Bryn Mawr Ave,casual,classic_bike,76.86183333333334
2024-10-30 18:39:47.358,2024-10-30 19:55:19.770,Lakefront Trail & Bryn Mawr Ave,Lakefront Trail & Bryn Mawr Ave,casual,classic_bike,75.5402
2024-10-09 17:50:29.202,2024-10-09 19:05:37.266,DuSable Lake Shore Dr & North Blvd,Lakeview Ave & Fullerton Pkwy,casual,classic_bike,75.1344
