started_at,ended_at,member_casual,trip_duration_min,time_of_day
2024-10-05 00:01:45.343,2024-10-05 00:11:59.827,casual,10.2414,Midday
2024-10-05 00:03:38.789,2024-10-05 00:22:19.758,casual,18.682816666666668,Midday
2024-10-05 00:04:45.737,2024-10-05 00:07:44.057,member,2.972,Midday
2024-10-05 00:05:10.274,2024-10-05 00:11:53.858,casual,6.7264,Midday
2024-10-05 00:06:08.856,2024-10-05 00:11:35.687,casual,5.447183333333333,Midday
2024-10-05 00:08:23.210,2024-10-05 00:19:42.971,member,11.32935,Midday
2024-10-05 00:08:53.331,2024-10-05 00:17:59.709,casual,9.106300000000001,Midday
2024-10-05 00:09:39.208,2024-10-05 00:19:23.589,casual,9.739683333333334,Midday
2024-10-05 00:10:16.619,2024-10-05 00:16:01.680,member,5.751016666666667,Midday
2024-10-05 00:11:17.930,2024-10-05 00:14:05.345,member,2.79025,Midday
2024-10-05 00:11:43.548,2024-10-05 00:17:33.358,casual,5.830166666666667,Midday
2024-10-05 00:13:17.924,2024-10-05 00:23:38.094,member,10.336166666666665,Midday
2024-10-05 00:13:51.457,2024-10-05 01:10:27.952,casual,56.60825,Midday
2024-10-05 00:14:21.214,2024-10-05 00:19:17.939,member,4.9454166666666675,Midday
2024-10-05 00:17:36.886,2024-10-05 00:23:44.404,member,6.125299999999999,Midday
2024-10-05 00:19:20.146,2024-10-05 00:25:52.088,member,6.532366666666666,Midday
2024-10-05 00:19:38.014,2024-10-05 00:32:18.570,member,12.675933333333335,Midday
2024-10-05 00:19:41.052,2024-10-05 00:26:01.490,casual,6.340633333333333,Midday
2024-10-05 00:19:48.297,2024-10-05 00:29:25.557,casual,9.621,Midday
2024-10-05 00:20:14.392,2024-10-05 00:41:49.060,member,21.5778,Midday
2024-10-05 00:20:20.168,2024-10-05 00:33:37.603,member,13.290583333333332,Midday
2024-10-05 00:20:29.594,2024-10-05 00:46:32.316,member,26.045366666666666,Midday
2024-10-05 00:24:01.334,2024-10-05 00:54:05.140,casual,30.063433333333332,Midday
2024-10-05 00:24:04.803,2024-10-05 00:30:32.819,casual,6.466933333333333,Midday
2024-10-05 00:24:32.193,2024-10-05 00:42:55.870,member,18.394616666666664,Midday
2024-10-05 00:24:40.861,2024-10-05 00:35:21.238,member,10.672949999999998,Midday
2024-10-05 00:29:49.964,2024-10-05 00:46:43.388,member,16.8904,Midday
2024-10-05 00:30:03.781,2024-10-05 02:50:12.884,casual,140.15171666666666,Midday
2024-10-05 00:30:17.831,2024-10-05 00:33:50.053,casual,3.5370333333333335,Midday
2024-10-05 00:35:21.805,2024-10-05 00:41:35.539,member,6.228899999999999,Midday
2024-10-05 00:35:37.565,2024-10-05 00:44:00.088,casual,8.375383333333334,Midday
2024-10-05 00:35:44.908,2024-10-05 01:02:18.413,member,26.55841666666667,Midday
2024-10-05 00:38:13.556,2024-10-05 00:44:15.102,member,6.025766666666667,Midday
2024-10-05 00:38:31.889,2024-10-05 02:50:21.604,casual,131.82858333333334,Midday
2024-10-05 00:38:33.863,2024-10-05 00:53:39.904,casual,15.100683333333334,Midday
2024-10-05 00:40:45.477,2024-10-05 01:02:29.279,member,21.73003333333333,Midday
2024-10-05 00:41:14.984,2024-10-05 01:00:35.493,member,19.341816666666666,Midday
2024-10-05 00:44:41.778,2024-10-05 00:48:35.744,member,3.8994333333333335,Midday
2024-10-05 00:45:16.795,2024-10-05 01:34:55.207,member,49.6402,Midday
2024-10-05 00:49:09.933,2024-10-05 00:54:12.933,casual,5.05,Midday
2024-10-05 00:49:36.855,2024-10-05 00:55:45.416,member,6.142683333333333,Midday
2024-10-05 00:50:40.812,2024-10-05 01:02:36.893,casual,11.934683333333334,Midday
2024-10-05 00:51:39.007,2024-10-05 00:58:20.194,member,6.68645,Midday
2024-10-05 00:52:15.711,2024-10-05 01:00:25.386,casual,8.16125,Midday
2024-10-05 00:54:15.453,2024-10-05 00:57:02.713,casual,2.7876666666666665,Midday
2024-10-05 00:56:05.466,2024-10-05 01:13:01.137,casual,16.92785,Midday
2024-10-05 00:56:14.161,2024-10-05 01:03:35.337,casual,7.3529333333333335,Midday
2024-10-05 01:02:18.115,2024-10-05 01:09:59.348,member,7.687216666666667,Midday
2024-10-05 01:02:22.382,2024-10-05 01:07:12.964,member,4.8430333333333335,Midday
2024-10-05 01:04:24.582,2024-10-05 01:17:36.786,member,13.203399999999998,Midday
2024-10-05 01:04:40.529,2024-10-05 01:11:30.199,member,6.827833333333333,Midday
2024-10-05 01:06:39.190,2024-10-05 01:11:38.024,casual,4.980566666666666,Midday
